





space
space
space
space
space
space
space
space
space
space
space,down
space,down
space,down
space,down
space,down,right
space,down,right
space,right
space,right
space,right,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space
space
space,up
space
space
space,up
space,up
space,left
space,left
space
space,down
space
space,down
space
space,down
space
space
space
space
space,down
space
space,down
space,right
space,right
space,right
space,right,up
space,up,left
space,up,left
space,up,left
space,up,left
space,up,left
space
space
space,up,left
space
space,up
space
space,up
space
space
space,up
space
space,up
space
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space,up
space
space
space
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down
space,down,left
space,down,left,right
space,down,left,right
space,left,right
space,left,right
space,left
space,left,up
space,left,up
space,left,up
space,left,up
space,left,up
space,left,up
space,left,up
left,up
left,up
left,up
left,up
left,up
up
up,right
up,right
right
right
right
right,down
right,down
right,down
down,left
left
left
left
